source_section,target_section,section_number_gap,rotation_angle_deg,determinant,qc_status,source_center_xy_x,source_center_xy_y,target_center_xy_x,target_center_xy_y,translation_after_rotation_about_source_center_xy_x,translation_after_rotation_about_source_center_xy_y,affine_offset_xy_x,affine_offset_xy_y,before_symmetric_nn_median_px,before_symmetric_nn_p95_px,before_fraction_within_400px,before_transport_rmse_px,before_transport_feature_mse,after_symmetric_nn_median_px,after_symmetric_nn_p95_px,after_fraction_within_400px,after_transport_rmse_px,after_transport_feature_mse,transform_json
064,059,5,1.186425774203493,1.0000000000000002,pass_whole_section_qc,7032.6929867468125,9629.435757836076,7366.334221242519,10484.597056513248,333.64123449570616,855.1612986771725,534.5317488450119,711.6098653688132,54.1378361521757,491.2307862013997,0.9176563737133808,979.9148269410481,2.552705559242821,149.18636537246874,266.1643642115798,0.9833729216152018,320.9388483072067,2.552705559242821,pairs/064_to_059/transform.json
069,064,5,3.528678798328967,0.9999999999999999,pass_whole_section_qc,7027.746878020077,8942.53999534527,7032.6929867468125,9629.435757836072,4.946108726735474,686.8957624908016,568.666583457546,271.3050466603636,51.513260981132646,501.9624760284403,0.9266393442622951,883.6098744899912,2.24106900979816,161.51455779454514,340.30647620469017,0.9577868852459016,430.5061777981394,2.24106900979816,pairs/069_to_064/transform.json
074,069,5,-14.066141408706823,1.000000000000001,pass_whole_section_qc,7940.2808386871875,8780.919512178423,7027.74687802008,8942.539995345272,-912.5339606671077,161.62048316684923,-2808.5818027621935,2354.729633760867,43.770828918939166,764.8231940095336,0.8878980891719745,1686.952580022203,2.264595666953887,165.8859124711526,313.3638176718183,0.9711252653927813,333.8978820327933,2.264595666953887,pairs/074_to_069/transform.json
078,074,4,14.654400556828058,0.9999999999999997,pass_whole_section_qc,7049.57646827513,8578.297972696084,7940.280838687187,8780.919512178421,890.704370412057,202.62153948233754,3290.238218557196,-1301.7799339716403,39.88296003622626,635.7326616592321,0.9060320065654494,1730.5378413537153,1.4556201147259467,154.76450924118208,249.60958679001797,0.9958965941731637,261.2666155281351,1.4556201147259467,pairs/078_to_074/transform.json
084,078,6,-11.840263669329854,1.0000000000000004,pass_whole_section_qc,7576.07130673467,8744.137799632792,7049.57646827513,8578.297972696084,-526.49483845954,-165.83982693670805,-2159.458267543104,1574.6930767736558,39.811674289377265,504.6361368693436,0.9263535031847133,1343.4103466388724,1.640500225423725,156.32508723594435,256.62955486747234,0.9940286624203821,308.521838832515,1.640500225423725,pairs/084_to_078/transform.json
086,084,2,12.4675302252213,1.0,pass_whole_section_qc,7126.707422734047,8830.242588025418,7576.07130673467,8744.137799632792,449.3638840006224,-86.10478839262578,2523.750750773029,-1416.433043210529,40.42866646113241,488.38112941016817,0.928125,1359.1247825697378,0.954181882288433,149.32222857412043,241.5858593915242,0.99921875,228.56357133517446,0.954181882288433,pairs/086_to_084/transform.json
091,086,5,0.5100687857187942,1.0000000000000002,pass_whole_section_qc,7135.3441130581905,9040.841714805132,7126.707422734045,8830.242588025414,-8.636690324145093,-210.59912677971806,72.12999711093107,-273.7615788125804,25.882916930149484,141.61068882073187,0.9936633663366337,330.1331687441298,1.4713055370216728,167.4688428738439,228.71876657688708,0.9972277227722772,248.85669414318352,1.4713055370216728,pairs/091_to_086/transform.json
097,091,6,-2.578493288294242,0.9999999999999998,pass_whole_section_qc,7297.724903266374,9240.0069593326,7135.344113058189,9040.841714805129,-162.38079020818532,-199.16524452747217,-570.6815516730258,138.50012246140977,34.421132558052996,205.46746518333282,0.9810201660735468,446.29254894485695,1.6095578052895472,143.7564425037377,247.39135445235075,0.9932779754843811,256.38415301371765,1.6095578052895472,pairs/097_to_091/transform.json
102,097,5,2.7980655586212286,0.9999999999999999,pass_whole_section_qc,6911.579220326949,9130.759226275535,7297.724903266376,9240.006959332602,386.1456829394265,109.24773305706731,840.1133420245023,-217.2624294067482,35.19997385468379,336.6120070721343,0.962010288880095,556.4170449468705,1.3869983100230083,153.2311339761541,258.29669041953093,0.9916897506925207,261.87698144878544,1.3869983100230083,pairs/102_to_097/transform.json
106,102,4,-8.11144948580645,0.9999999999999997,pass_whole_section_qc,7348.406983569715,8771.331332639507,6911.579220326951,9130.759226275535,-436.82776324276347,359.4278936360279,-1600.9371548187164,1484.03420794275,33.6366715778516,463.4674577535871,0.9341463414634147,1024.610858498394,1.1155437161204476,157.2453920170123,254.09512999385746,0.9926829268292683,276.89252904519026,1.1155437161204476,pairs/106_to_102/transform.json
