section,selection_order,requested_region,stored_label_value,source_csv,area_pixels_csv,mask_pixels_saved,centroid_x_global_csv,centroid_y_global_csv,original_component_id
064,5,9,9,CRC01_ROI_TLS_labeled_detailed_regions.csv,45173,45173,1529.866424634184,1695.784140969163,8
064,6,7,7,CRC01_ROI_TLS_labeled_detailed_regions.csv,808,808,1658.1559405940593,1616.0383663366338,9
069,1,25,25,CRC01_ROI_TLS_labeled_detailed_regions.csv,20243,20243,946.9271847058242,2007.183322630045,27
069,2,29,29,CRC01_ROI_TLS_labeled_detailed_regions.csv,3818,3818,940.0489785227868,2171.3499214248295,32
069,3,24,24,CRC01_ROI_TLS_labeled_detailed_regions.csv,491,491,1015.6150712830957,1969.9103869653768,28
069,4,23,23,CRC01_ROI_TLS_labeled_detailed_regions.csv,3670,3670,1147.5686648501362,1908.36757493188,25
069,5,27,27,CRC01_ROI_TLS_labeled_detailed_regions.csv,11701,11701,1187.5679856422528,2087.981369113751,29
069,6,19,19,CRC01_ROI_TLS_labeled_detailed_regions.csv,333,333,1566.6996996996995,1796.936936936937,23
069,7,17,17,CRC01_ROI_TLS_labeled_detailed_regions.csv,4582,4582,1645.5840244434744,1727.3341335661285,20
069,8,11,11,CRC01_ROI_TLS_labeled_detailed_regions.csv,44219,44219,1648.5451502747687,1635.6069562857595,11
069,9,9,9,CRC01_ROI_TLS_labeled_detailed_regions.csv,675,675,1782.9066666666668,1533.825185185185,14
074,1,47,47,CRC01_ROI_TLS_labeled_detailed_regions.csv,12317,12317,996.90289843306,1973.0581310384023,40
074,2,34,34,CRC01_ROI_TLS_labeled_detailed_regions.csv,3504,3504,1033.7357305936073,1810.1883561643835,34
074,3,48,48,CRC01_ROI_TLS_labeled_detailed_regions.csv,4210,4210,1105.9643705463182,1978.5686460807601,47
074,4,42,42,CRC01_ROI_TLS_labeled_detailed_regions.csv,3016,3016,1171.9953580901856,1883.8627320954906,44
074,5,51,51,CRC01_ROI_TLS_labeled_detailed_regions.csv,11801,11801,1181.8944157274807,2078.0067790865182,49
074,6,53,53,CRC01_ROI_TLS_labeled_detailed_regions.csv,651,651,1198.1505376344085,2188.5023041474656,54
074,7,40,40,CRC01_ROI_TLS_labeled_detailed_regions.csv,2652,2652,1345.5855957767722,1871.5177224736049,42
074,8,43,43,CRC01_ROI_TLS_labeled_detailed_regions.csv,4035,4035,1514.060966542751,1892.2500619578686,41
074,9,39,39,CRC01_ROI_TLS_labeled_detailed_regions.csv,2301,2301,1593.1625380269447,1839.19469795741,39
074,10,33,33,CRC01_ROI_TLS_labeled_detailed_regions.csv,11319,11319,1737.168124392614,1804.8981358777278,31
074,11,23,23,CRC01_ROI_TLS_labeled_detailed_regions.csv,16454,16454,1749.260179895466,1633.0212106478668,20
074,12,27,27,CRC01_ROI_TLS_labeled_detailed_regions.csv,510,510,1969.3039215686274,1732.3470588235296,27
074,13,28,28,CRC01_ROI_TLS_labeled_detailed_regions.csv,1218,1218,1923.5057471264367,1741.6264367816093,28
074,14,38,38,CRC01_ROI_TLS_labeled_detailed_regions.csv,1646,1646,1884.8462940461725,1827.5874848116646,38
074,15,32,32,CRC01_ROI_TLS_labeled_detailed_regions.csv,846,846,1974.174940898345,1795.0330969267138,32
078,1,26,26,CRC01_ROI_TLS_labeled_detailed_regions.csv,20978,20978,968.307989322147,2007.7474497092192,24
078,2,27,27,CRC01_ROI_TLS_labeled_detailed_regions.csv,3522,3522,1071.652186257808,2027.9892106757525,28
078,3,24,24,CRC01_ROI_TLS_labeled_detailed_regions.csv,2267,2267,1126.2977503308337,1896.2580502867227,25
078,4,23,23,CRC01_ROI_TLS_labeled_detailed_regions.csv,1914,1914,1264.4686520376176,1860.1650992685477,23
078,5,30,30,CRC01_ROI_TLS_labeled_detailed_regions.csv,19303,19303,1162.5176915505363,2158.847122208983,27
078,6,22,22,CRC01_ROI_TLS_labeled_detailed_regions.csv,5012,5012,1434.4774541101356,1828.3060654429369,22
078,7,20,20,CRC01_ROI_TLS_labeled_detailed_regions.csv,2524,2524,1502.4255150554677,1764.7444532488114,20
078,8,19,19,CRC01_ROI_TLS_labeled_detailed_regions.csv,5730,5730,1599.7298429319371,1719.631937172775,17
078,9,16,16,CRC01_ROI_TLS_labeled_detailed_regions.csv,6815,6815,1709.5411592076302,1656.5489361702128,16
078,10,10,10,CRC01_ROI_TLS_labeled_detailed_regions.csv,15230,15230,1603.76086671044,1516.5705187130663,9
084,1,42,42,CRC01_084_TLS_labeled_regions_ge300px.csv,8948,8948,910.2424005364328,2140.9846893160484,47
084,2,29,29,CRC01_084_TLS_labeled_regions_ge300px.csv,3169,3169,966.5254023351215,1875.1798674660777,32
084,3,39,39,CRC01_084_TLS_labeled_regions_ge300px.csv,2095,2095,941.0763723150358,1961.596658711217,42
084,4,38,38,CRC01_084_TLS_labeled_regions_ge300px.csv,874,874,982.8935926773455,1956.1533180778033,43
084,5,40,40,CRC01_084_TLS_labeled_regions_ge300px.csv,1032,1032,1041.3972868217054,2023.1220930232557,45
084,6,43,43,CRC01_084_TLS_labeled_regions_ge300px.csv,10217,10217,1118.4172457668592,2156.7382793383576,44
084,7,46,46,CRC01_084_TLS_labeled_regions_ge300px.csv,644,644,1013.77950310559,2221.0295031055903,50
084,8,35,35,CRC01_084_TLS_labeled_regions_ge300px.csv,954,954,1149.5524109014675,1917.083857442348,39
084,9,37,37,CRC01_084_TLS_labeled_regions_ge300px.csv,907,907,1095.175303197354,1944.6262403528115,41
084,10,32,32,CRC01_084_TLS_labeled_regions_ge300px.csv,2677,2677,1282.6985431453118,1906.3268584236084,36
084,11,36,36,CRC01_084_TLS_labeled_regions_ge300px.csv,5594,5594,1450.2468716481944,1927.497139792635,34
084,12,30,30,CRC01_084_TLS_labeled_regions_ge300px.csv,2026,2026,1526.0419545903258,1877.2453109575517,33
084,13,25,25,CRC01_084_TLS_labeled_regions_ge300px.csv,462,462,1630.9242424242425,1809.6471861471862,30
084,14,26,26,CRC01_084_TLS_labeled_regions_ge300px.csv,5741,5741,1763.2313185856124,1811.6775823027347,25
084,15,28,28,CRC01_084_TLS_labeled_regions_ge300px.csv,3870,3870,1630.2268733850128,1856.5103359173127,31
084,16,14,14,CRC01_084_TLS_labeled_regions_ge300px.csv,9905,9905,1674.5232710752146,1640.5491166077738,16
084,17,16,16,CRC01_084_TLS_labeled_regions_ge300px.csv,591,591,1747.3857868020305,1675.5143824027073,19
