section,region_id,source_pixels,source_centroid_x,source_centroid_y,aligned_centroid_x,aligned_centroid_y,z,strongest_otsu_pixels,bcore_pixels
064,18,7322,1065.3657470636438,2155.2517071838297,1067.8175248845268,2192.1889227924344,310.0,2266,4790
069,9,675,1782.9066666666668,1533.825185185185,1669.7191790434576,1657.673029928809,335.0,153,675
069,11,44219,1648.5451502747687,1635.6069562857595,1539.4491401362206,1733.1102529526954,335.0,10131,33947
069,17,4582,1645.5840244434744,1727.3341335661282,1526.7485499569132,1814.0628608868913,335.0,170,2270
069,19,333,1566.6996996996997,1796.936936936937,1449.1847668264738,1867.0769720198969,335.0,20,198
069,23,3670,1147.5686648501362,1908.3675749318802,1065.4531789910789,1919.8031057947614,335.0,53,1206
069,24,491,1015.6150712830957,1969.9103869653768,941.7375345459496,1959.849701252576,335.0,35,423
069,25,20243,946.9271847058243,2007.183322630045,876.7625950112908,1985.336266254959,335.0,1004,10607
069,27,11701,1187.5679856422528,2087.981369113751,1081.1758455723377,2083.3463468524715,335.0,2746,7444
069,29,3818,940.0489785227868,2171.34992142483,852.6328362873888,2130.0460363896673,335.0,54,555
074,23,16454,1749.260179895466,1633.0212106478668,1504.626256117663,1676.6457196654999,360.0,7786,14201
074,27,510,1969.3039215686274,1732.3470588235293,1711.0086015432403,1740.8447487861793,360.0,47,400
074,28,1218,1923.5057471264367,1741.6264367816093,1671.3224876743648,1754.0819062315495,360.0,7,387
074,32,846,1974.174940898345,1795.033096926714,1722.1781686759782,1795.9814779886744,360.0,30,130
074,33,11319,1737.1681243926141,1804.8981358777278,1512.6374794742019,1830.5998044860783,360.0,1284,5979
074,34,3504,1033.7357305936073,1810.1883561643835,888.1061869610847,1912.043022513944,360.0,1739,2738
074,38,1646,1884.8462940461725,1827.5874848116646,1646.3484852878341,1834.637166348309,360.0,33,158
074,39,2301,1593.1625380269447,1839.1946979574097,1388.4089912963955,1876.7679404244195,360.0,498,1197
074,40,2652,1345.5855957767722,1871.5177224736049,1171.9259430410893,1932.4832313181587,360.0,62,518
074,42,3016,1171.9953580901856,1883.8627320954906,1019.0113431881751,1962.3850699910013,360.0,179,863
074,43,4035,1514.060966542751,1892.2500619578686,1323.9049146578918,1932.5136786959945,360.0,79,485
074,47,12317,996.90289843306,1973.0581310384023,873.1484508512151,2060.697578476827,360.0,2270,6212
074,48,4210,1105.9643705463184,1978.5686460807601,970.6678188734148,2053.692448835754,360.0,1374,3106
074,51,11801,1181.8944157274807,2078.0067790865182,1048.9950816390494,2133.714155942314,360.0,5719,10008
074,53,651,1198.1505376344087,2188.5023041474656,1075.4995131961903,2230.0658405481895,360.0,30,187
078,10,15230,1603.7608667104398,1516.5705187130663,1502.6450528945672,1684.0184156972487,380.0,6677,13542
078,16,6815,1709.5411592076302,1656.5489361702128,1579.6716421579192,1820.5864830188236,380.0,403,3431
078,19,5730,1599.7298429319371,1719.6319371727748,1474.898673478797,1863.4014659157535,380.0,355,2821
078,20,2524,1502.4255150554675,1764.7444532488114,1383.3429606357795,1891.7866080548229,380.0,708,1957
