section,reference_section,z,source_height,source_width,composed_global_rotation_angle_deg,source_center_x,source_center_y,aligned_center_x,aligned_center_y,canvas_origin_x,canvas_origin_y,canvas_height,canvas_width,exact_point_count,A_00,A_01,A_02,A_10,A_11,A_12,A_20,A_21,A_22,G_00,G_01,G_02,G_10,G_11,G_12,G_20,G_21,G_22,H_00,H_01,H_02,H_10,H_11,H_12,H_20,H_21,H_22,Hinv_00,Hinv_01,Hinv_02,Hinv_10,Hinv_11,Hinv_12,Hinv_20,Hinv_21,Hinv_22,C_00,C_01,C_02,C_10,C_11,C_12,C_20,C_21,C_22
051,052,245.0,3000,2785,-3.423021709141641,1351.7649830574221,1987.527638649614,1281.660929547702,1935.0332462431902,662.0,1538.0,865,1219,87649,6.1055655296229805,0.0,0.0,0.0,6.109133333333332,0.0,0.0,0.0,1.0,0.9982159177678838,0.05970746615643119,-849.8507625478014,-0.0597074661564312,0.9982159177678838,628.1006884924841,0.0,0.0,1.0,0.9627317612655425,0.057618660403870106,-134.2448334629143,-0.057557762919325024,0.96283853370906,99.16961735702982,0.0,0.0,1.0,1.0350079415426496,-0.06193745785113607,145.08678274035105,0.06187199580540621,1.0348931659877567,-94.32396350349609,0.0,0.0,1.0,0.9627317612655425,0.057618660403870106,-796.2448334629144,-0.057557762919325024,0.96283853370906,-1438.83038264297,0.0,0.0,1.0
052,052,250.0,3000,2686,0.0,1314.424212771296,1927.576916321666,1314.4242127712957,1927.5769163216655,662.0,1538.0,865,1219,79710,6.33060312732688,0.0,0.0,0.0,6.333600000000001,0.0,0.0,0.0,1.0,1.0,-2.7755575615628914e-17,0.0,0.0,0.9999999999999999,2.2737367544323206e-13,0.0,0.0,1.0,0.9999999999999999,-2.776871495234237e-17,0.0,0.0,0.9999999999999998,3.5899595087032973e-14,0.0,0.0,1.0,1.0000000000000002,2.776871495234238e-17,-9.968856228763295e-31,0.0,1.0000000000000002,-3.589959508703298e-14,0.0,0.0,1.0,0.9999999999999999,-2.776871495234237e-17,-662.0,0.0,0.9999999999999998,-1538.0,0.0,0.0,1.0
054,052,260.0,3000,2893,14.64687119413475,1496.1942137752915,1829.4912152693328,1301.3973976335128,1876.573412519428,662.0,1538.0,865,1219,86343,5.877635672312478,0.0,0.0,0.0,5.881200000000001,0.0,0.0,0.0,1.0,0.967502639683624,-0.2528609147440939,2451.013726653844,0.25286091474409383,0.967502639683624,-748.1598971215785,0.0,0.0,1.0,0.8982758694055355,-0.23491057358715034,387.1690702065529,0.23465711958971994,0.8983953082776509,-118.12553636503387,0.0,0.0,1.0,1.042064458899748,0.2724768901834802,-371.2686488475101,-0.2721829044510807,1.0419259196592872,228.45886015482841,0.0,0.0,1.0,0.8982758694055355,-0.23491057358715034,-274.8309297934471,0.23465711958971994,0.8983953082776509,-1656.125536365034,0.0,0.0,1.0
059,052,285.0,3000,2686,2.348517884471449,1288.1004705946357,1877.9084788640444,1301.206727826658,1867.941409516053,662.0,1538.0,865,1219,73524,6.33060312732688,0.0,0.0,0.0,6.333600000000001,0.0,0.0,0.0,1.0,0.999160053400225,-0.04097789268935709,577.2076421812617,0.04097789268935703,0.9991600534002248,-387.28946634454246,0.0,0.0,1.0,0.9991600534002248,-0.04099729139818985,91.17735396958768,0.040958503159421004,0.9991600534002247,-61.148393700982446,0.0,0.0,1.0,0.9991600534002243,0.04099729139818983,-88.59385134605397,-0.04095850315942099,0.9991600534002244,64.83152025624257,0.0,0.0,1.0,0.9991600534002248,-0.04099729139818985,-570.8226460304123,0.040958503159421004,0.9991600534002247,-1599.1483937009825,0.0,0.0,1.0
064,052,310.0,3000,2653,3.5349436586749428,1268.803570248662,1854.3304627447526,1281.4628987488975,1914.6533791439604,662.0,1538.0,865,1219,90806,6.102845834903882,0.0,0.0,0.0,6.1074,0.0,0.0,0.0,1.0,0.9980973803940293,-0.061657272487331494,1082.1301402015888,0.061657272487331355,0.9980973803940294,345.6266693807129,0.0,0.0,1.0,0.9621886443129825,-0.05948337281856027,170.93634183612488,0.0594108924767658,0.9624510453799568,54.57033430919427,0.0,0.0,1.0,1.0353462251269074,0.06398859017416306,-180.47017501481267,-0.06391062023622904,1.035063950038252,-45.55913815732376,0.0,0.0,1.0,0.9621886443129825,-0.05948337281856027,-491.0636581638751,0.0594108924767658,0.9624510453799568,-1483.4296656908057,0.0,0.0,1.0
069,052,335.0,3000,2868,7.063622457003913,1376.6102170908928,1818.7189854232604,1278.3087928715918,1865.5104226097742,662.0,1538.0,865,1219,89732,5.653957461645747,0.0,0.0,0.0,5.655,0.0,0.0,0.0,1.0,0.9924102134256508,-0.12297141248458765,1632.986838279061,0.12297141248458754,0.992410213425651,651.4779562307835,0.0,0.0,1.0,0.8863365809476499,-0.10984788078067054,257.9512260419641,0.10977566236995556,0.8860805477014742,102.86060948446121,0.0,0.0,1.0,1.1111783637075403,0.13775337777049293,-300.7992176656797,-0.1376628131647627,1.1114994390367283,-78.81921830471823,0.0,0.0,1.0,0.8863365809476499,-0.10984788078067054,-404.0487739580359,0.10977566236995556,0.8860805477014742,-1435.1393905155387,0.0,0.0,1.0
074,052,360.0,2874,3000,-7.002518951702913,1421.654759414226,1860.1633498953975,1238.2860748093754,1914.1007822211673,662.0,1538.0,865,1219,76480,5.668,0.0,0.0,0.0,5.666805845511483,0.0,0.0,0.0,1.0,0.9925407928181865,0.12191297958727529,-1443.8428571064615,-0.12191297958727546,0.9925407928181866,2642.9604232669344,0.0,0.0,1.0,0.8886548565032163,0.10912975769823856,-228.07350706821663,-0.10910110652720051,0.8880472348507485,417.2919703276074,0.0,0.0,1.0,1.1085712503553815,-0.13622936618101017,309.6831535337047,0.1361936002180576,1.1093297594397913,-431.8522490177022,0.0,0.0,1.0,0.8886548565032163,0.10912975769823856,-890.0735070682166,-0.10910110652720051,0.8880472348507485,-1120.7080296723925,0.0,0.0,1.0
078,052,380.0,3000,2864,7.651881605125147,1293.2959841527102,1880.6702563179063,1184.310183029043,1969.5943329700299,662.0,1538.0,865,1219,83295,5.65754189944134,0.0,0.0,0.0,5.660416666666666,0.0,0.0,0.0,1.0,0.9910953750995347,-0.1331538863733007,1663.1489223835888,0.1331538863733005,0.9910953750995349,949.767990751679,0.0,0.0,1.0,0.885723445016493,-0.1190576099148275,262.7157142744248,0.11894083794846513,0.8857541965816689,149.9570529796133,0.0,0.0,1.0,1.1090030957974646,0.14906534847178296,-313.70594080318693,-0.14891914484926783,1.1089645934893613,-127.17366279018756,0.0,0.0,1.0,0.885723445016493,-0.1190576099148275,-399.2842857255752,0.11894083794846513,0.8857541965816689,-1388.0429470203867,0.0,0.0,1.0
084,052,410.0,3000,2865,-4.188382064204713,1358.0428877769837,1917.196537899742,1226.592656788204,1969.612422749285,662.0,1538.0,865,1219,64354,5.655567190226876,0.0,0.0,0.0,5.655,0.0,0.0,0.0,1.0,0.9973293073209348,0.0730359689382286,-686.7566823163797,-0.07303596893822885,0.997329307320935,2222.8987555589883,0.0,0.0,1.0,0.8909834963414744,0.06524155693204563,-108.48203062231217,-0.06521722711151261,0.8904725958222635,350.96923638357146,0.0,0.0,1.0,1.116368318072687,-0.08179208155576827,149.81240647279117,0.08176157972903615,1.117008824199445,-383.1660718670963,0.0,0.0,1.0,0.8909834963414744,0.06524155693204563,-770.4820306223122,-0.06521722711151261,0.8904725958222635,-1187.0307636164284,0.0,0.0,1.0
086,052,420.0,3000,2755,8.27914816101659,1264.4443584564128,1865.5097457960596,1185.6901012622056,1982.1066525482154,662.0,1538.0,865,1219,76238,5.881379310344827,0.0,0.0,0.0,5.881200000000001,0.0,0.0,0.0,1.0,0.9895782595584663,-0.14399607011734136,1726.8033460557708,0.14399607011734117,0.9895782595584665,625.9239882660563,0.0,0.0,1.0,0.9193571267500635,-0.1337739344168463,272.7707473245001,0.1337147132056166,0.9188940981614331,98.8259423181218,0.0,0.0,1.0,1.0651629310281998,0.1550679630696562,-305.8700262926275,-0.15499931507304957,1.065699664139885,-63.039494529468676,0.0,0.0,1.0,0.9193571267500635,-0.1337739344168463,-389.2292526754999,0.1337147132056166,0.9188940981614331,-1439.1740576818781,0.0,0.0,1.0
091,052,445.0,3000,2754,8.789216946735387,1288.4675096479314,1881.3559924972512,1205.7171465459298,1966.8991098954666,662.0,1538.0,865,1219,92766,5.879030501089325,0.0,0.0,0.0,5.881200000000001,0.0,0.0,0.0,1.0,0.9882571558464484,-0.15279984920899206,1837.602214556895,0.1527998492089919,0.9882571558464485,365.4019176922743,0.0,0.0,1.0,0.9177631017590495,-0.1419527421153284,290.2728504057763,0.1418332345051018,0.9176673590002736,57.69261047307602,0.0,0.0,1.0,1.0641659097100207,0.16461440789782456,-318.395506829289,-0.1644758218148537,1.0642769370654037,-13.658049144562634,0.0,0.0,1.0,0.9177631017590495,-0.1419527421153284,-371.7271495942237,0.1418332345051018,0.9176673590002736,-1480.307389526924,0.0,0.0,1.0
097,052,475.0,3000,2891,6.210723658441143,1388.087365088012,1897.7752431536776,1289.1943941933084,1956.8686523065398,662.0,1538.0,865,1219,88113,5.881701833275683,0.0,0.0,0.0,5.881200000000001,0.0,0.0,0.0,1.0,0.9941307330604995,-0.10818542223698921,1252.459289578941,0.10818542223698907,0.9941307330604995,415.0755997583801,0.0,0.0,1.0,0.9236372013145975,-0.1005054482903344,197.84201669072192,0.10046646398651674,0.9231213949847495,65.5354932042409,0.0,0.0,1.0,1.0700044487259492,0.11649743725594217,-219.32655501158422,-0.11645224993958049,1.0706023279113053,-47.123303609057224,0.0,0.0,1.0,0.9236372013145975,-0.1005054482903344,-464.15798330927805,0.10046646398651674,0.9231213949847495,-1472.464506795759,0.0,0.0,1.0
102,052,500.0,3000,2754,9.008789217062379,1271.3290916402304,1914.9156963495823,1221.8881725973722,1986.9109359965503,662.0,1538.0,865,1219,111905,5.883514887436456,0.0,0.0,0.0,5.881200000000001,0.0,0.0,0.0,1.0,0.9876643318057965,-0.15658597535734414,2111.1464098012693,0.15658597535734395,0.9876643318057969,289.9763581795935,0.0,0.0,1.0,0.91791219305562,-0.14547009498927024,333.4826662388973,0.14545849393373295,0.9171168795339544,45.78381302570315,0.0,0.0,1.0,1.0627169349108765,0.16856470196770357,-362.1152117089305,-0.16855125914655672,1.0636385111754711,7.51149657552202,0.0,0.0,1.0,0.91791219305562,-0.14547009498927024,-328.5173337611027,0.14545849393373295,0.9171168795339544,-1492.2161869742968,0.0,0.0,1.0
106,052,520.0,3000,2864,0.8973397312559225,1319.3834649339256,1980.3407907002247,1197.3674977502494,2024.012343766377,662.0,1538.0,865,1219,72948,5.653229748603352,0.0,0.0,0.0,5.655,0.0,0.0,0.0,1.0,0.9998773607016892,-0.015660892574343943,297.57894060979015,0.01566089257434372,0.9998773607016896,1505.0197066712153,0.0,0.0,1.0,0.8928906656735245,-0.013989559245251686,47.006412284044714,0.01397856255383372,0.8927476434836514,237.62468527712758,0.0,0.0,1.0,1.1196832656881242,0.01754569221839424,-56.80158280584681,-0.01753190017822644,1.1198626439858903,-265.2828966028587,0.0,0.0,1.0,0.8928906656735245,-0.013989559245251686,-614.9935877159553,0.01397856255383372,0.8927476434836514,-1300.3753147228724,0.0,0.0,1.0
